ws,wd,freq_val
0,0,0.000677408
0,5,0.000673769
0,10,0.000670131
0,15,0.000666492
0,20,0.000662854
0,25,0.000659216
0,30,0.000655577
0,35,0.000592726
0,40,0.000529875
0,45,0.000467024
0,50,0.000404173
0,55,0.000341323
0,60,0.000278472
0,65,0.000298129
0,70,0.000317787
0,75,0.000337444
0,80,0.000357102
0,85,0.00037676
0,90,0.000396417
0,95,0.0003964
0,100,0.000396383
0,105,0.000396366
0,110,0.000396348
0,115,0.000396331
0,120,0.000396314
0,125,0.000394289
0,130,0.000392265
0,135,0.000390241
0,140,0.000388216
0,145,0.000386192
0,150,0.000384167
0,155,0.000363579
0,160,0.000342991
0,165,0.000322403
0,170,0.000301815
0,175,0.000281227
0,180,0.000260639
0,185,0.000264281
0,190,0.000267922
0,195,0.000271563
0,200,0.000275204
0,205,0.000278846
0,210,0.000282487
0,215,0.000308621
0,220,0.000334755
0,225,0.000360888
0,230,0.000387022
0,235,0.000413156
0,240,0.00043929
0,245,0.000431736
0,250,0.000424182
0,255,0.000416628
0,260,0.000409073
0,265,0.000401519
0,270,0.000393965
0,275,0.000412723
0,280,0.000431481
0,285,0.000450239
0,290,0.000468998
0,295,0.000487756
0,300,0.000506514
0,305,0.000517447
0,310,0.000528381
0,315,0.000539315
0,320,0.000550249
0,325,0.000561182
0,330,0.000572116
0,335,0.000589665
0,340,0.000607213
0,345,0.000624762
0,350,0.000642311
0,355,0.000659859
1,0,0.002352197
1,5,2.32E-03
1,10,2.30E-03
1,15,2.27E-03
1,20,2.24E-03
1,25,2.22E-03
1,30,2.19E-03
1,35,2.25E-03
1,40,2.32E-03
1,45,2.38E-03
1,50,2.44E-03
1,55,2.51E-03
1,60,2.57E-03
1,65,2.53E-03
1,70,2.49E-03
1,75,2.45E-03
1,80,2.41E-03
1,85,2.37E-03
1,90,2.33E-03
1,95,2.27E-03
1,100,2.20E-03
1,105,2.13E-03
1,110,2.07E-03
1,115,2.00E-03
1,120,1.93E-03
1,125,1.89E-03
1,130,1.84E-03
1,135,1.80E-03
1,140,1.75E-03
1,145,1.71E-03
1,150,1.66E-03
1,155,1.58E-03
1,160,1.49E-03
1,165,1.41E-03
1,170,1.32E-03
1,175,1.23E-03
1,180,1.15E-03
1,185,1.25E-03
1,190,1.36E-03
1,195,1.46E-03
1,200,1.56E-03
1,205,1.67E-03
1,210,1.77E-03
1,215,1.83E-03
1,220,1.89E-03
1,225,1.95E-03
1,230,2.01E-03
1,235,2.07E-03
1,240,2.13E-03
1,245,2.12E-03
1,250,2.11E-03
1,255,2.09E-03
1,260,2.08E-03
1,265,2.06E-03
1,270,2.05E-03
1,275,2.04E-03
1,280,2.03E-03
1,285,2.03E-03
1,290,2.02E-03
1,295,2.01E-03
1,300,2.00E-03
1,305,2.03E-03
1,310,2.05E-03
1,315,2.08E-03
1,320,2.10E-03
1,325,2.12E-03
1,330,2.15E-03
1,335,2.18E-03
1,340,2.22E-03
1,345,2.25E-03
1,350,2.28E-03
1,355,2.32E-03
2,0,0.005059505
2,5,0.004847174
2,10,0.004634842
2,15,0.004422511
2,20,0.00421018
2,25,0.003997848
2,30,0.003785517
2,35,0.003857661
2,40,0.003929805
2,45,0.004001949
2,50,0.004074094
2,55,0.004146238
2,60,0.004218382
2,65,0.004198266
2,70,0.004178149
2,75,0.004158032
2,80,0.004137916
2,85,0.004117799
2,90,0.004097682
2,95,0.004056053
2,100,0.004014423
2,105,0.003972793
2,110,0.003931164
2,115,0.003889534
2,120,0.003847904
2,125,0.00373022
2,130,0.003612536
2,135,0.003494851
2,140,0.003377167
2,145,0.003259483
2,150,0.003141798
2,155,0.003130096
2,160,0.003118393
2,165,0.00310669
2,170,0.003094987
2,175,0.003083284
2,180,0.003071581
2,185,0.003117142
2,190,0.003162703
2,195,0.003208263
2,200,0.003253824
2,205,0.003299385
2,210,0.003344945
2,215,0.003828472
2,220,0.004311998
2,225,0.004795525
2,230,0.005279051
2,235,0.005762577
2,240,0.006246104
2,245,0.006168066
2,250,0.006090029
2,255,0.006011991
2,260,0.005933954
2,265,0.005855916
2,270,0.005777879
2,275,0.005417345
2,280,0.005056811
2,285,0.004696277
2,290,0.004335743
2,295,0.003975209
2,300,0.003614675
2,305,0.003771267
2,310,0.003927858
2,315,0.004084449
2,320,0.00424104
2,325,0.004397632
2,330,0.004554223
2,335,0.004638437
2,340,0.00472265
2,345,0.004806864
2,350,0.004891078
2,355,0.004975292
3,0,0.007461216
3,5,0.007087788
3,10,0.006714361
3,15,0.006340933
3,20,0.005967506
3,25,0.005594079
3,30,0.005220651
3,35,0.005230868
3,40,0.005241085
3,45,0.005251302
3,50,0.005261519
3,55,0.005271736
3,60,0.005281953
3,65,0.005338354
3,70,0.005394754
3,75,0.005451155
3,80,0.005507556
3,85,0.005563956
3,90,0.005620357
3,95,0.005789932
3,100,0.005959508
3,105,0.006129083
3,110,0.006298659
3,115,0.006468234
3,120,0.00663781
3,125,0.006237123
3,130,0.005836436
3,135,0.005435748
3,140,0.005035061
3,145,0.004634374
3,150,0.004233687
3,155,0.004195927
3,160,0.004158168
3,165,0.004120408
3,170,0.004082649
3,175,0.004044889
3,180,0.00400713
3,185,0.004373385
3,190,0.004739641
3,195,0.005105896
3,200,0.005472152
3,205,0.005838407
3,210,0.006204662
3,215,0.006846918
3,220,0.007489173
3,225,0.008131429
3,230,0.008773684
3,235,0.009415939
3,240,0.010058195
3,245,0.009880655
3,250,0.009703115
3,255,0.009525575
3,260,0.009348036
3,265,0.009170496
3,270,0.008992956
3,275,0.008235823
3,280,0.007478691
3,285,0.006721558
3,290,0.005964425
3,295,0.005207292
3,300,0.004450159
3,305,0.004760522
3,310,0.005070885
3,315,0.005381249
3,320,0.005691612
3,325,0.006001975
3,330,0.006312338
3,335,0.006503818
3,340,0.006695297
3,345,0.006886777
3,350,0.007078256
3,355,0.007269736
4,0,0.008929417
4,5,0.008136598
4,10,0.007343779
4,15,0.006550959
4,20,0.00575814
4,25,0.004965321
4,30,0.004172502
4,35,0.004163727
4,40,0.004154952
4,45,0.004146177
4,50,0.004137403
4,55,0.004128628
4,60,0.004119853
4,65,0.00458478
4,70,0.005049706
4,75,0.005514633
4,80,0.00597956
4,85,0.006444487
4,90,0.006909413
4,95,0.00722907
4,100,0.007548727
4,105,0.007868384
4,110,0.00818804
4,115,0.008507697
4,120,0.008827354
4,125,0.008424943
4,130,0.008022533
4,135,0.007620122
4,140,0.007217712
4,145,0.006815301
4,150,0.006412891
4,155,0.006352662
4,160,0.006292433
4,165,0.006232204
4,170,0.006171975
4,175,0.006111746
4,180,0.006051518
4,185,0.006502143
4,190,0.006952768
4,195,0.007403394
4,200,0.007854019
4,205,0.008304644
4,210,0.00875527
4,215,0.009525072
4,220,0.010294873
4,225,0.011064675
4,230,0.011834477
4,235,0.012604279
4,240,0.013374081
4,245,0.012769801
4,250,0.012165521
4,255,0.011561241
4,260,0.010956962
4,265,0.010352682
4,270,0.009748402
4,275,0.009104383
4,280,0.008460364
4,285,0.007816344
4,290,0.007172325
4,295,0.006528306
4,300,0.005884287
4,305,0.006171337
4,310,0.006458386
4,315,0.006745436
4,320,0.007032486
4,325,0.007319536
4,330,0.007606586
4,335,0.007827058
4,340,0.00804753
4,345,0.008268002
4,350,0.008488474
4,355,0.008708945
5,0,0.008741871
5,5,0.007887539
5,10,0.007033207
5,15,0.006178875
5,20,0.005324543
5,25,0.004470211
5,30,0.003615879
5,35,0.003645482
5,40,0.003675085
5,45,0.003704688
5,50,0.00373429
5,55,0.003763893
5,60,0.003793496
5,65,0.004169948
5,70,0.0045464
5,75,0.004922852
5,80,0.005299304
5,85,0.005675756
5,90,0.006052208
5,95,0.006530184
5,100,0.00700816
5,105,0.007486136
5,110,0.007964113
5,115,0.008442089
5,120,0.008920065
5,125,0.008428847
5,130,0.007937628
5,135,0.00744641
5,140,0.006955192
5,145,0.006463973
5,150,0.005972755
5,155,0.006276443
5,160,0.006580132
5,165,0.006883821
5,170,0.007187509
5,175,0.007491198
5,180,0.007794886
5,185,0.008187427
5,190,0.008579968
5,195,0.008972509
5,200,0.009365049
5,205,0.00975759
5,210,0.010150131
5,215,0.011017537
5,220,0.011884942
5,225,0.012752348
5,230,0.013619753
5,235,0.014487159
5,240,0.015354565
5,245,0.014832056
5,250,0.014309548
5,255,0.013787039
5,260,0.013264531
5,265,0.012742022
5,270,0.012219514
5,275,0.011414076
5,280,0.010608638
5,285,0.0098032
5,290,0.008997763
5,295,0.008192325
5,300,0.007386887
5,305,0.007510415
5,310,0.007633943
5,315,0.00775747
5,320,0.007880998
5,325,0.008004526
5,330,0.008128054
5,335,0.008230356
5,340,0.008332659
5,345,0.008434962
5,350,0.008537265
5,355,0.008639568
6,0,0.0074537
6,5,0.006758156
6,10,0.006062612
6,15,0.005367069
6,20,0.004671525
6,25,0.003975981
6,30,0.003280437
6,35,0.003336166
6,40,0.003391894
6,45,0.003447623
6,50,0.003503352
6,55,0.003559081
6,60,0.00361481
6,65,0.003865211
6,70,0.004115611
6,75,0.004366012
6,80,0.004616412
6,85,0.004866813
6,90,0.005117213
6,95,0.005520548
6,100,0.005923884
6,105,0.006327219
6,110,0.006730554
6,115,0.007133889
6,120,0.007537225
6,125,0.007137312
6,130,0.0067374
6,135,0.006337488
6,140,0.005937576
6,145,0.005537664
6,150,0.005137752
6,155,0.005707415
6,160,0.006277079
6,165,0.006846742
6,170,0.007416406
6,175,0.007986069
6,180,0.008555733
6,185,0.009013922
6,190,0.009472111
6,195,0.0099303
6,200,0.010388489
6,205,0.010846678
6,210,0.011304867
6,215,0.011817063
6,220,0.012329259
6,225,0.012841454
6,230,0.01335365
6,235,0.013865846
6,240,0.014378042
6,245,0.014163785
6,250,0.013949529
6,255,0.013735273
6,260,0.013521016
6,265,0.01330676
6,270,0.013092503
6,275,0.012359967
6,280,0.011627431
6,285,0.010894895
6,290,0.010162358
6,295,0.009429822
6,300,0.008697286
6,305,0.008431064
6,310,0.008164843
6,315,0.007898621
6,320,0.007632399
6,325,0.007366178
6,330,0.007099956
6,335,0.007158914
6,340,0.007217871
6,345,0.007276828
6,350,0.007335786
6,355,0.007394743
7,0,0.005433677
7,5,0.004994834
7,10,0.004555991
7,15,0.004117148
7,20,0.003678306
7,25,0.003239463
7,30,0.00280062
7,35,0.002884522
7,40,0.002968424
7,45,0.003052326
7,50,0.003136228
7,55,0.00322013
7,60,0.003304032
7,65,0.003503593
7,70,0.003703154
7,75,0.003902716
7,80,0.004102277
7,85,0.004301838
7,90,0.0045014
7,95,0.004930848
7,100,0.005360297
7,105,0.005789746
7,110,0.006219195
7,115,0.006648644
7,120,0.007078093
7,125,0.006745072
7,130,0.006412051
7,135,0.00607903
7,140,0.005746009
7,145,0.005412988
